id|session|set_start|set_end|basemap|zoom|center_x|center_y|x_min|x_max|y_min|y_max|layer_start|layer_end|layer|number|name|color|wkt
1|1|2022-11-16 16:30:41.188000+00:00|2022-11-16 16:32:59.037000+00:00|osm|6|281164.3400000000|5858095.3899999997|-2000939.5764822224|2563268.2564822221|6661601.4313337719|5054589.3486662265|2022-11-16 16:30:42.021000+00:00|2022-11-16 16:30:42.021000+00:00|1|1|Layer 1|rgba(205, 41, 41, 0.4)|MULTIPOLYGON(((193574.08978859408 5849333.455889611,189073.27600963303 5846510.734359125,135261.60809686902 5815935.923045054,127216.65325431782 5812111.168412986,39161.19666979462 5777867.379741227,32152.725649618864 5775617.216825207,-73024.62527078358 5748711.3828688245,-81275.06615975186 5747194.731719787,-188898.4019852801 5734964.807194159,-199044.99874528652 5734659.7926236475,-337243.14588488516 5741997.747339024,-348424.0813197295 5743637.072790474,-474392.3039337 5774211.884104544,-484719.43709182 5777719.350678314,-494259.2083542816 5783005.631534603,-502708.13707815233 5789902.558709122,-556519.8049909163 5842491.234169323,-563582.5070104691 5850742.029122901,-569074.1553744575 5860112.150543101,-572821.5097099124 5870306.007157138,-574706.3554080871 5881002.022016751,-582044.3101234641 5966611.4936961485,-582023.0091430402 5977298.705070644,-580141.3362977427 5987818.983013652,-548343.5325311095 6105226.258459683,-543226.8541397215 6118108.745934455,-535340.2174192078 6129507.861800924,-449730.7457398104 6227347.25800595,-441395.6533094513 6235237.392179816,-431732.986528415 6241431.0061315335,-421083.1507074773 6245709.905533403,-288999.9658306926 6284845.664015413,-271628.24855839484 6287365.118221408,-115085.21463035396 6287365.118221408,-101079.68841237052 6285739.604647838,65247.28513617311 6246603.8461658275,76607.02744579151 6242720.303606396,242934.0009943349 6166894.771547501,242992.02604734863 6166868.2823880995,410069.3104725155 6090490.095222308,578587.900171049 6042012.144761086,735538.9909664537 6028163.519102669,910874.9279018634 6032902.328209031,1052618.9064226002 6046731.009040322,1098273.5241897705 6061433.343575513,1103691.5830414342 6066054.629066638,1112109.0780525622 6072082.30773771,1121422.8073361302 6076603.544212002,1137321.7092194464 6082718.506474816,1149562.8604929552 6086018.486838529,1162221.4146444085 6086723.229129396,1174753.2229568965 6084802.438843897,1186619.585091327 6080338.684303561,1189065.5699964531 6079115.691850998,1199112.1560598207 6072805.677194768,1207751.1933736322 6064674.428165187,1214657.4931378067 6055028.01950404,1219571.0898895576 6044229.559268817,1222307.0270679 6032685.52079666,1222762.3191090715 6020830.442321688,1220919.8280071607 6009110.570179474,1216848.9084192698 5997967.061297644,1210702.7970323032 5987819.377260905,1202712.844460281 5979049.495027525,1193179.8067938674 5971987.528634146,1168719.9577426107 5957311.619203392,1160036.127064988 5953371.172756784,1145667.9816351905 5941115.989890192,1092495.7004871792 5876007.07419875,1045495.832160172 5793197.782384498,1026851.0390868918 5748612.407644046,1071566.8118609055 5753847.843611829,1083552.087979284 5754068.123259156,1095350.0448050888 5751945.958917441,1106507.2934738745 5747562.904172211,1116595.0671763567 5741087.397359281,1125225.698426438 5732768.288573965,1132067.5169052912 5722925.276501474,1136857.5953657106 5711936.622575727,1139411.8537787686 5700224.614604584,1139632.133426096 5688239.338486206,1137509.969084381 5676441.381660401,1133126.9143391512 5665284.132991615,1126651.4075262211 5655196.359289133,1118332.2987409052 5646565.728039051,1108489.2866684136 5639723.909560198,1097500.6327426669 5634933.831099779,1085788.6247715238 5632379.572686721,1022070.7179930009 5624919.318726087,1015945.9574687787 5624512.406461255,940120.4254098841 5623289.414008692,929027.9212033278 5624122.404866305,918269.8563623537 5626951.108494953,908202.2365105737 5631681.917502024,899158.2190825827 5638158.280069356,891437.0884861255 5646165.880562249,885294.3521896561 5655439.73165731,876733.4050217161 5671338.633540628,871810.6924732671 5683413.325066659,869560.0718147295 5696257.233386748,870083.8846908207 5709286.312185891,873358.3119514498 5721908.094960061,879234.4567711609 5733548.636027436,891839.6580725887 5753029.401675097,907458.7180790681 5780102.43901966,934085.1255788923 5843774.283040979,937319.5384556574 5850366.107879912,974714.1778679037 5916251.90113006,920611.9961436299 5910973.639498424,916326.5028268042 5910707.009315587,735323.6198475066 5905815.0395053355,728296.9288424312 5906029.374078888,561969.955293888 5920705.283509642,550439.3569973164 5922851.873714844,371882.4589231444 5974217.556722482,363364.3822449123 5977369.856008885,192174.444504681 6055628.113261564,31364.82486308607 6128938.381039349,-122182.30816066412 6165067.118221408,-262759.68923132855 6165067.118221408,-369356.34026103653 6133482.925323716,-433993.45499293733 6059611.937058687,-459269.79569825693 5966283.909839045,-454795.1663835688 5914079.901167683,-429234.45743130526 5889100.117418881,-325092.05050340964 5863822.834183954,-197646.43512804218 5857055.810358713,-99261.05361303203 5868235.967349055,-1728.8597205734181 5893186.06346108,78728.05948822177 5924474.865375611,126345.13795453923 5951530.02359511,143846.27818510283 5963596.027108107,154334.76604684404 5969400.076481682,165754.03441661614 5973046.40019961,177665.24721496832 5974394.872086291,189610.66321394505 5973393.671123353,201131.22677577208 5970081.272902319,211784.2091035749 5964584.971029213,221160.22206075734 5957115.985302653,228898.95072750357 5947961.344655458,234703.00010107952 5937472.8567937175,238349.32381900706 5926053.588423945,239697.7957056882 5914142.375625593,238696.5947427494 5902196.959626616,235384.19652171657 5890676.396064789,229887.89464860962 5880023.413736986,222418.9089220504 5870647.400779803,213264.26827485513 5862908.672113057,193574.08978859408 5849333.455889611)))
2|1|2022-11-16 16:30:41.188000+00:00|2022-11-16 16:32:59.037000+00:00|osm|6|281164.3400000000|5858095.3899999997|-2000939.5764822224|2563268.2564822221|6661601.4313337719|5054589.3486662265|2022-11-16 16:30:43.975000+00:00|2022-11-16 16:30:44.907000+00:00|2|2|Layer 2|rgba(205, 205, 41, 0.4)|MULTIPOLYGON(((1238768.052984829 5768816.940962913,1239943.0138734519 5780746.519063878,1243422.7434512964 5792217.650168606,1249073.5176621408 5802789.505141829,1256678.180422053 5812055.81352569,1265944.4888059134 5819660.476285602,1276516.3437791362 5825311.250496446,1287987.4748838649 5828790.98007429,1291531.7185741544 5829140.0576091865,1296428.2929942813 5830364.2012142185,1343244.165529489 5843568.678083123,1349790.8494856716 5845032.844894641,1459860.1702163257 5863377.731683084,1474397.1483012727 5864045.093613551,1480543.496507701 5863593.156245431,1429243.6850657132 5938507.16660516,1427996.1425801225 5940403.543110521,1369292.5048571073 6033350.969505294,1367403.3890881445 6036553.792352574,1359943.1351275113 6050129.0085760215,1355227.3789946297 6061149.762218672,1352752.2771705333 6072878.753552847,1352612.946430269 6084865.244019268,1354814.7411760474 6096648.599511414,1359273.047670569 6107775.992285901,1365816.5356954967 6117819.80287872,1374193.7426756627 6126394.053281423,1384082.737244811 6133169.23985953,1395103.4908874612 6137884.995992411,1406832.4822216362 6140360.097816507,1418818.9726880577 6140499.428556772,1430602.3281802027 6138297.633810993,1441729.7209546897 6133839.327316471,1451773.531547509 6127295.839291544,1460347.781950212 6118918.632311378,1467122.9685283187 6109029.63774223,1473687.3777029351 6097084.56530973,1530791.5752606317 6006669.585843378,1606454.737394285 5896177.349076773,1638685.4642422174 5853203.046612863,1639561.1736058374 5851900.679988216,1640724.1218498158 5851815.169087923,1653038.8996894013 5849627.032983333,1781453.1072084976 5812937.259406447,1794633.1695009915 5807437.004051789,1833768.9279830016 5785423.139905659,1836198.8486229675 5783981.415677634,1845982.7882434702 5777866.453414819,1855616.3792837702 5770415.231060376,1863582.2263651486 5761202.627129717,1869564.339845189 5750594.087681753,1873325.420930663 5739010.432819163,1874716.2748585835 5726911.163574358,1873681.7291619366 5714776.234398271,1870262.8222540142 5703087.014301872,1864595.17551447 5692307.191884836,1856903.6134532753 5682864.3817117,1847493.24536019 5675133.161674749,1843824.2680025017 5672687.1767696235,1828318.78772151 5665255.593827801,1809691.2930076607 5659373.227076059,1767992.9801676548 5638524.0706560565,1709737.5259618906 5608182.688257221,1706222.252777246 5606492.091258444,1675525.1422179195 5592916.875034996,1664139.60238242 5589166.561793271,1652241.1826843282 5587709.5184017215,1640287.132719931 5588601.738220764,1628736.8399254517 5591808.933743117,1618034.1755755034 5597207.854243471,1608590.4370589312 5604591.022234748,1600768.5419508175 5613674.70671157,1594869.0812935976 5624109.826773684,1591118.768051873 5635495.366609182,1589661.7246603232 5647393.786307274,1590553.9444793663 5659347.836271672,1593761.1400017187 5670898.129066151,1599160.0605020728 5681600.7934161,1606543.2284933492 5691044.531932672,1615626.9129701715 5698866.427040786,1626062.0330322846 5704765.887698005,1654974.532617613 5717551.893490721,1660343.417875645 5720348.187895945,1625485.9617383168 5730307.461078039,1561306.9839431439 5735026.5035629785,1556165.1567380812 5734235.453223738,1493690.7576910001 5722221.145714684,1489334.0106745816 5721545.163318898,1396386.5842798075 5710538.2312458325,1391339.7614249103 5710151.532882666,1321629.1916288296 5707705.547977541,1319484.932225834 5707667.940962913,1302363.0378899546 5707667.940962913,1299917.052984829 5707667.940962913,1287987.4748838644 5708842.901851537,1276516.343779136 5712322.631429381,1265944.4888059131 5717973.405640225,1256678.1804220527 5725578.068400137,1249073.5176621405 5734844.376783998,1243422.7434512964 5745416.231757221,1239943.0138734519 5756887.362861949,1238768.052984829 5768816.940962913)),((-173758.59683572783 5704566.002256607,-159740.33957981115 5729932.372529218,-149328.38067397173 5766374.228699655,-149328.38067397173 5812966.968500431,-148153.41978534884 5824896.546601395,-144673.69020750438 5836367.677706123,-139022.91599666 5846939.532679346,-131418.25323674787 5856205.841063207,-130534.81679402618 5856930.858614794,-122219.08550914034 5923456.70889388,-115000.04775212368 6058212.08035819,-107665.00245106104 6200022.956178739,-106740.56295475861 6207910.9591764575,-84726.69880862776 6327764.219527614,-81969.35503476525 6337838.525401103,-77537.73445831164 6347296.607795872,-27395.043903235994 6434129.0719278315,-20051.699389717403 6444279.274213612,-10793.868915432846 6452719.883788512,-10.14592006996827 6459096.609707491,77038.37859138745 6494563.390831812,88679.87491510478 6498558.580874358,100885.61787608366 6500141.558733237,187718.0820080443 6502587.5436383635,204055.68177027674 6500839.378704446,283550.19118685974 6481271.499463441,294658.46623401786 6477369.89069919,304813.12200408586 6471411.762497815,313637.71407215466 6463617.989322724,416369.08008743153 6353548.66859207,421374.5901271438 6347437.870715728,538781.8655731746 6183556.88207231,539491.2239364951 6182545.304101084,625100.6956158925 6057800.073939676,626271.5849284071 6056028.770568099,677637.2679360455 5975311.268698953,682070.3164946489 5966991.540108305,699192.2108305284 5927855.781626295,702681.7193063238 5917402.001956354,704238.1480363072 5906491.653272704,703810.9404873167 5895479.129833437,701413.9733838057 5884722.144777436,697125.105958595 5874570.110744825,687341.1663380928 5856225.223956382,680849.9619743155 5846447.517198109,672610.354515293 5838089.996485342,662925.8627797768 5831460.524155826,650313.6850445551 5824502.081267429,810363.6828922306 5795235.795946711,963976.0042540991 5781681.767591251,971824.1426890333 5783550.371980521,982322.7499884883 5789382.931591329,989696.8683987034 5795136.364636662,999825.1305692014 5801548.359034855,1011009.6990739998 5805861.222830324,1022820.7572178374 5807909.215086092,1034804.4126599643 5807613.632608297,1046500.1402422511 5804985.834465795,1057458.4797127498 5800126.805467517,1067258.3082311172 5793223.275372893,1075523.023883199 5784540.542971912,1081935.018281392 5774412.2808014145,1086247.8820768616 5763227.712296615,1088295.8743326296 5751416.654152778,1088000.291854834 5739432.998710651,1085372.4937123323 5727737.271128365,1080513.4647140543 5716778.931657866,1073609.9346194293 5706979.103139498,1064927.202218449 5698714.387487416,1053797.9709001274 5690031.14107422,1045879.3835888981 5684788.286371288,1023865.5194427675 5672558.361845659,1008332.3034683606 5666526.077901418,982649.4619645411 5660411.115638604,972937.9556455627 5658910.513422484,963111.4797344924 5658984.898661198,796784.5061859492 5673660.808091952,791159.9693060908 5674421.520728893,577136.2901075971 5713557.279210903,566184.2338726097 5716635.7602994535,486689.72445602616 5747210.571613524,484131.2652952136 5748261.617215301,473631.78728773387 5752855.138843574,473474.50147702626 5752870.630143798,462003.37037229765 5756350.359721642,451431.51539907494 5762001.133932486,442165.2070152145 5769605.796692398,434560.5442553024 5778872.105076259,428909.7700444581 5789443.960049482,425430.04046661366 5800915.09115421,424255.0795779908 5812844.669255175,424255.0795779908 5815290.6541603,425538.60099963134 5827753.586222379,429335.2828710614 5839693.322802009,435485.7400015784 5850608.632230031,443731.775413966 5860041.288420174,453727.2194866308 5867595.307258781,465052.4621986053 5872953.570068561,483951.3356003537 5879623.760680942,523260.26111925044 5896470.443046184,568464.5385710567 5919072.581772087,523663.5380684886 5989474.1539904075,439004.459154982 6112834.526121518,324261.9680095344 6272995.920012038,236648.0131505516 6366868.014503806,182874.42192438233 6380104.590805632,116822.96523274615 6378243.986391783,68789.82563122321 6356133.493559335,33651.340081133414 6295283.921021376,14264.171944103757 6189731.561164214,7131.773162012229 6051838.518043774,7125.850717970898 6051726.02614546,-212.103997406055 5914750.871458424,-596.7468344256631 5910437.420190182,-15272.656265179568 5793030.144744151,-17153.228274054905 5783815.82247975,-27030.380673971726 5749245.789080041,-27030.380673971726 5715005.273050149,-28016.719541272512 5704066.607389658,-32908.68935152389 5677160.7734332755,-37181.523814806744 5663289.612898031,-44603.18617446625 5650816.235778568,-56833.11070009435 5634917.333895252,-64823.92207419713 5626366.2258234285,-74297.50129062701 5619494.121887768,-95088.37298419508 5607264.19736214,-100467.15820980885 5604449.804282006,-102683.96369840942 5603426.663287267,-105701.40723869836 5601314.452809065,-116321.74965076512 5595359.88139313,-127911.31819741607 5591627.523612919,-140010.6196324386 5590265.356779717,-152139.9512584541 5591327.386912602,-163818.41976689867 5594771.507554258,-174583.0072823324 5600461.169171576,-184006.92869694938 5608170.792954106,-185229.92114951217 5609393.785406669,-192699.2828039211 5618458.469119158,-198297.7361811653 5628784.02838317,-201818.72325522604 5639989.495993052,-203132.33526547812 5651661.440039283,-202190.10577208377 5663369.217706867,-199026.79885202963 5674680.864079582,-193759.1264593268 5685179.029723872,-186581.44227307773 5694476.379026458,-177758.57091126085 5702229.881155472,-173758.59683572783 5704566.002256607)))
3|1|2022-11-16 16:33:13.803000+00:00|2022-11-16 16:33:19.622000+00:00|osm|6|281164.3400000000|5858095.3899999997|-2000939.5764822224|2563268.2564822221|6661601.4313337719|5054589.3486662265|2022-11-16 16:33:14.815000+00:00|2022-11-16 16:33:14.815000+00:00|1|1|Layer 1|rgba(205, 41, 41, 0.4)|MULTIPOLYGON(((511306.51765322825 5793586.921307353,505628.4423548961 5791412.604192894,378437.22728836304 5749830.860805758,369488.690638756 5747635.697396512,237405.50576197126 5725621.833250381,229658.5403336263 5724833.326769444,100021.34036196717 5719941.356959193,90570.7466680777 5720316.699184801,-34174.4834933298 5734992.608615556,-47534.52601811936 5738114.141092389,-191847.63542053214 5789479.824100027,-202882.34589634195 5794700.8496572105,-322735.6062474983 5866857.404358417,-332095.6687879454 5873787.034803271,-339972.1982479622 5882365.544728008,-377884.9642774098 5932508.235283084,-384034.41350019514 5942510.4360261485,-388158.82588262187 5953503.56878928,-390106.1393764983 5965082.330191292,-389804.55891118286 5976819.825438196,-382466.6041958059 6036746.455613774,-379542.81372997345 6049354.560510578,-374030.8944099829 6061064.880966773,-366177.77534326824 6071352.8049896695,-279345.31121130806 6163077.23893188,-268744.6503428593 6171993.087122172,-256409.32231119895 6178294.360180175,-99866.28838315784 6236997.997903191,-83692.75546456278 6240661.520751599,85080.2029891062 6255337.430182353,94894.69709777545 6255400.240372048,293019.47441295226 6240724.330941294,303022.3137449541 6239142.482872292,523160.9552062618 6185330.814959528,526269.7249175914 6184483.499714984,753332.248715398 6116120.589324246,973711.2934017789 6053155.1479852805,1178765.9520906303 6007852.374554022,1363792.677503181 5989115.490967942,1545212.113704317 5998539.877264105,1640942.3517543587 6010610.73125044,1652925.1997498914 6010937.412551954,1664741.5330415284 6008920.079089745,1675937.256567548 6004636.2558574295,1686082.1249514797 5998250.56777943,1694786.2765906365 5990008.4132674495,1701715.21581887 5980226.533697129,1706602.6673874336 5969280.841214616,1709260.8092734613 5957591.972643598,1709587.4905749764 5945609.124648065,1707570.1571127665 5933792.7913564285,1703286.3338804508 5922597.067830409,1696900.6458024515 5912452.199446477,1688658.491290471 5903748.04780732,1678876.611720151 5896819.108579086,1667930.919237638 5891931.657010523,1656242.0506666193 5889273.515124495,1558280.3552163371 5876921.29135361,1553802.799696276 5876523.241147252,1365461.9620016017 5866739.3015267495,1356128.8724581376 5866968.103173054,1162896.0649532122 5886535.982414058,1155865.3033765135 5887664.685466977,945510.6015357086 5934138.398664364,941903.2364700055 5935051.324360183,719318.6101035723 5998646.93189345,718488.7436124618 5998890.397164011,492555.3663544593 6066913.349456743,278917.9755116791 6119135.822773867,90770.11324329893 6133072.701460414,-64760.663108868794 6119548.286125443,-200242.12772666896 6068742.736893768,-263522.395804159 6001897.383290786,-265404.8800275644 5986523.762132975,-249541.11887389363 5965542.658671669,-145058.86026677865 5902640.0744082015,-13028.806208849328 5855646.326353685,100149.45805689432 5842331.236440067,221148.16709049532 5846897.225460203,344825.8281977825 5867510.168978085,464732.54813897144 5906710.442805012,523219.54828127613 5932510.097558403,534608.5768989788 5936249.80261388,546508.3487888307 5937695.761024861,558461.5623905739 5936792.405420517,570008.8624089329 5933574.451250115,580706.4925800025 5928165.562687774,590143.3489756086 5920773.600287606,597956.7784967183 5911682.6330191875,603846.5154286568 5901242.021656373,607586.2204841325 5889852.993038669,609032.1788951141 5877953.221148818,608128.8232907704 5866000.007547074,604910.8691203687 5854452.707528715,599501.980558028 5843755.077357646,592110.0181578594 5834318.22096204,583019.0508894413 5826504.79144093,572578.4395266254 5820615.054508992,511306.51765322825 5793586.921307353)))
4|1|2022-11-16 16:33:13.803000+00:00|2022-11-16 16:33:19.622000+00:00|osm|6|281164.3400000000|5858095.3899999997|-2000939.5764822224|2563268.2564822221|6661601.4313337719|5054589.3486662265|2022-11-16 16:33:16.338000+00:00|2022-11-16 16:33:16.338000+00:00|2|2|Layer 2|rgba(205, 205, 41, 0.4)|MULTIPOLYGON(((1768062.8849094748 6046636.119697821,1764401.7121125015 6044599.641437132,1664116.3310023502 5993233.958429494,1661917.481223656 5992162.6797107365,1498036.4925802385 5916337.147651842,1496088.2862927413 5915476.606534024,1263719.7203058053 5817637.210328998,1263553.2908358616 5817567.423714327,1040968.6644694285 5724619.997319552,1036742.8081069809 5723035.83049605,882645.7590840656 5671670.147488412,871390.426739748 5669068.587582061,724631.3324322094 5649500.708341056,716549.6531123635 5648964.303239898,574682.5286150766 5648964.303239898,569146.3582803223 5649215.429557604,434617.1884984121 5661445.354083233,425026.120768407 5663094.878678551,310064.8302275023 5692446.697540058,300314.29566230724 5695835.431250876,291272.7059932849 5700816.003178569,214224.181481827 5752181.686186207,204470.89797160958 5760260.026263995,196590.8723058542 5770174.223818518,190922.10369709838 5781499.027574145,159124.299930465 5865885.506800979,156198.01950150603 5876426.686272698,155196.87109288876 5887320.596666483,156152.89819424367 5898218.559502967,176943.7698878115 6014402.842496435,181198.44789796585 6028332.140238997,188626.53972664376 6040860.151747443,269344.04159579 6146037.502667845,276533.3274595431 6153884.255537159,284974.1866471434 6160365.710466257,294410.9523336775 6165285.54940674,424048.1523053366 6219097.217319503,440738.5361605925 6223395.507179698,594835.5851835079 6240517.401515578,601588.3625714588 6240891.405024021,765469.3512148764 6240891.405024021,772412.6117177642 6240495.934424288,942992.5353995844 6221001.0860035075,1150298.7838085142 6201716.783825934,1321988.016610086 6199364.8765272815,1395959.7917200732 6209155.258527132,1435627.8354778995 6220948.460725404,1464028.9092050868 6230415.485301134,1464825.3204304243 6230674.908830675,1491731.1543868065 6239235.855998615,1493823.519339056 6239860.692283369,1507398.735562503 6243651.968886313,1519204.6858243297 6245729.203868705,1531189.03650392 6245463.298725087,1542891.2357255586 6242864.472041009,1553861.574535827 6238032.595268499,1563678.468966483 6231153.354722178,1571964.6612699348 6222491.1157583175,1578401.7177229107 6212378.763362461,1582742.2658558658 6201204.909566106,1584819.5008382578 6189398.95930428,1584553.5956946407 6177414.608624689,1581954.769010562 6165712.40940305,1577122.8922380519 6154742.070592782,1570243.6516917306 6144925.1761621265,1561581.4127278705 6136638.983858675,1551469.0603320133 6130201.927405698,1540295.206535659 6125861.379272743,1527771.7520019887 6122363.837916493,1502305.6153157915 6114260.976243612,1473351.1136719093 6104609.475695651,1471439.748930749 6104006.971038033,1426189.0281859245 6090554.054059843,1416786.6632227679 6088547.241124431,1333623.176448496 6077540.309051365,1324762.3155375936 6077017.398209908,1146205.417463422 6079463.383115034,1141379.170027807 6079720.51288531,931024.4681870015 6099288.392126314,929745.0340707834 6099420.996382749,761986.4584596548 6118593.405024021,604975.1083834227 6118593.405024021,462895.2063849625 6102806.749246414,356405.2309213911 6058603.363204932,294707.8038863882 5978209.746159323,279504.7512158402 5893251.510647436,298429.2123583589 5843028.902230752,350429.437098166 5808362.085737547,450550.9023982861 5782799.158426878,577456.3094550654 5771262.303239898,712491.0120512005 5771262.303239898,849475.9803912839 5789526.965685243,995926.6072785208 5838343.841314321,1216344.2885572591 5930386.389540608,1447648.0939344733 6027777.465488909,1609452.3339629355 6102642.113860287,1706783.5172850597 6152494.671171618,1729569.980486549 6166211.8952879375,1740396.5098469965 6171357.925676905,1752018.951207265 6174292.925435664,1763990.6606638199 6174904.1041694535,1775851.5721360573 6173167.974622288,1787145.8774477753 6169151.25527903,1797439.5427797637 6163008.3064114405,1806336.9883460687 6154975.198099496,1813496.2903033216 6145360.638190604,1818642.320692288 6134534.108830157,1821577.3204510475 6122911.667469888,1822188.4991848373 6110939.958013333,1820452.3696376712 6099079.046541096,1816435.6502944138 6087784.741229378,1810292.7014268246 6077491.075897389,1802259.5931148794 6068593.630331084,1792645.0332059874 6061434.328373832,1768062.8849094748 6046636.119697821)))
